hHostNameFinal,hOrder,hFamily,hGenus,hSpecies,hMarOTerr,hWildDomFAO,hAllZACites,hDiseaseZACites,hHuntedIUCN,hArtfclHbttUsrIUCN,IUCN_Species_ID,Authority,Synonyms,Common_names_Eng,Common_names_Fre,Common.names_Spa,RedList_status,RedList_criteria,RedList_criteria_version,Year_assessed,Population_trend,,,,,,,,,,,,,,
Ammospermophilus_nelsoni,RODENTIA,SCIURIDAE,Ammospermophilus,nelsoni,Terrestrial,wild,19,4,1,0,1149,"(Merriam, 1893)",NA,"Nelson's Antelope Squirrel, San Joaquin Antelope Ground Squirrel, San Joaquin Antelope Squirrel",NA,NA,EN,B1ab(iii),3.1,2008,decreasing,,,,,,,,,,,,,,
Ammotragus_lervia,CETARTIODACTYLA,BOVIDAE,Ammotragus,lervia,Terrestrial,wild,192,31,1,0,1151,"(Pallas, 1777)",NA,"Aoudad, Barbary Sheep, Uaddan",Mouflon è Manchettes,NA,VU,C1,3.1,2008,decreasing,,,,,,,,,,,,,,
Anoura_geoffroyi,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,geoffroyi,Terrestrial,wild,80,15,0,1,1567,"Gray, 1838",NA,Geoffroy's Tailless Bat,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Antidorcas_marsupialis,CETARTIODACTYLA,BOVIDAE,Antidorcas,marsupialis,Terrestrial,wild,248,38,0,0,1676,"(Zimmermann, 1780)",NA,Springbok,NA,NA,LC,NA,3.1,2008,increasing,,,,,,,,,,,,,,
Antilocapra_americana,CETARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,Terrestrial,wild,655,76,0,0,1677,"(Ord, 1815)",NA,"Mexican Pronghorn, Pronghorn","Antilocapre, Antilope Am_ricaine",Berrendo,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Antilope_cervicapra,CETARTIODACTYLA,BOVIDAE,Antilope,cervicapra,Terrestrial,wild,254,64,0,1,1681,"(Linnaeus, 1758)",NA,Blackbuck,Antilope Cervicapre,Cervicapra,NT,NA,3.1,2008,stable,,,,,,,,,,,,,,
Antrozous_pallidus,CHIROPTERA,VESPERTILIONIDAE,Antrozous,pallidus,Terrestrial,wild,192,21,1,0,1790,"(Le Conte, 1856)",NA,Pallid Bat,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Aotus_azarae,PRIMATES,AOTIDAE,Aotus,azarae,Terrestrial,wild,62,20,0,0,41539,"(Humboldt, 1811)",NA,"Azara's Night Monkey, Azaras Night Monkey",NA,"Cuatro Ojos, Macaco Da Noite, Mirikin_, Mono Nocturno",LC,NA,3.1,2008,decreasing,,,,,,,,,,,,,,
Aotus_trivirgatus,PRIMATES,AOTIDAE,Aotus,trivirgatus,Terrestrial,wild,574,219,0,0,41543,"(Humboldt, 1812)",NA,"Douroucouli, Night Monkey, Northern Night Monkey, Northern Owl Monkey, Owl Monkey",NA,"Macaco Da Noite, Mono De Noche, Mono Nocturno",LC,NA,3.1,2008,unknown,,,,,,,,,,,,,,
Apodemus_agrarius,RODENTIA,MURIDAE,Apodemus,agrarius,Terrestrial,wild,929,312,0,1,1888,"(Pallas, 1771)",NA,Striped Field Mouse,"Mulot Ray_, Mulot Ray_","Rat_n Listado, Rat_n Listado",LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
